NAME,AUTHOR,NARRATOR,RELEASEDATE,LANGUAGE,PRICE,DURATION_MINUTES,RATING_PERCENT
The Greatest Trade Ever,Gregory Zuckerman,Marc Cashman,05-12-19,English,888.0,700,100
Think and Grow Rich (1937 Edition),Napoleon Hill,Fred Stella,29-12-13,English,1005.0,652,100
Life on a Knife’s Edge,Dr Rahul Jandial,Rahul Jandial,03-06-21,English,888.0,383,100
The Unemployed Millionaire,"Matt Morris,Wallace Wang",Matt Morris,13-10-09,English,820.0,397,100
The Pursuit of Happyness (Abridged),Chris Gardner,Andre Blake,15-05-06,English,1069.0,342,100
Life of the Beloved,Henri J.M.Nouwen,Henri J.M.Nouwen,24-02-10,English,468.0,157,100
Brackish Waters,Matt Boren,Christina Applegate,18-03-21,English,501.0,115,100
The Einstein of Money,Joe Carlen,Walter Dixon,28-09-12,English,820.0,623,100
Jotham's Journey,Arnold Ytreeide,Kirby Heyborne,09-07-19,English,469.0,345,100
The Successful Investor,William J.O'Neil,Alan Sklar,24-09-21,English,469.0,241,100
Mango and Peppercorns,"Tung Nguyen,Katherine Manning,Lyn Nguyen,","Quyen Ngo,Cindy Kay,Vy Vy Nguyen",25-03-21,English,500.0,316,100
A Book of Five Rings: The Strategy of Musashi,Miyamoto Musashi,Jim Donaldson,16-05-12,English,140.0,167,100
Do Hard Things,"Brett Harris,Alex Harris",Lincoln Hoppe,29-08-08,English,754.0,352,100
Tell Yourself a Better Lie,Marisa Peer,Carlyss Peer,10-01-22,English,351.0,516,100
The Job Closer,Steve Dalton,Steve Dalton,20-04-21,English,754.0,308,100
"Abiding in Mindfulness, Vol. 3",Joseph Goldstein,Joseph Goldstein,20-06-11,English,1407.0,1178,100
A Monk in the World,"Wayne Teasdale,Ken Wilber-foreword",James Anderson Foster,05-03-19,English,586.0,463,100
This Charming Man,Marian Keyes,Caroline Lennon,03-09-08,English,1116.0,1608,100
Boy Parts,Eliza Clark,Eliza Clark,23-07-20,English,569.0,490,100
How to Be Perfect,Michael Schur,Michael Schur,25-01-22,English,835.0,553,100
"The Unchained Man: The Alpha Male 2.0: Be More Happy, Make More Money, Get Better with Women, Live More Free",Caleb Jones,Caleb Jones,10-08-18,English,836.0,785,100
To Speak for the Trees,Diana Beresford-Kroeger,Diana Beresford-Kroeger,05-11-19,English,1231.0,514,100
The Getaway,Jeff Kinney,Dan Russell,07-11-17,English,410.0,126,100
"Harry Potter and the Deathly Hallows, Book 7",J.K.Rowling,Stephen Fry,20-11-15,English,1599.0,1440,100
Prayer,A.W.Tozer,Joe Geoffrey,12-01-17,English,762.0,311,100
Dharma Artha Kama Moksha,Devdutt Pattanaik,Abhishek Sharma,26-01-22,English,900.0,272,100
"Harry Potter and the Philosopher's Stone, Book 1",J.K.Rowling,Stephen Fry,20-11-15,English,999.0,573,100
"Harry Potter and the Order of the Phoenix, Book 5",J.K.Rowling,Stephen Fry,20-11-15,English,1599.0,1818,100
