NAME,AUTHOR,NARRATOR,RELEASEDATE,LANGUAGE,PRICE,DURATION_MINUTES,RATING_PERCENT
Alla fine della vita,Marzio Barbagli,Pino Pirovano,28-09-21,italian,689.0,648,0
Ciudades hambrientas,Carolyn Steel,Pilar Corral,02-09-21,spanish,959.0,932,0
Our Fair Share,Brian C.Johnson,Jonathan Yen,28-09-21,English,586.0,486,0
"Aimer les gens, utiliser les choses (parce que l'inverse ne fonctionne jamais)","The Minimalists,Joshua Fields Millburn,Ryan Nicodemus",David Tartar,15-03-22,french,755.0,607,0
Réinventer l'amour,Mona Chollet,Grétel Delattre,04-11-21,french,870.0,576,0
Mutual Aid,Dean Spade,Stephen R.Thorne,12-10-21,English,586.0,281,0
Juntos,Vivek H.Murthy,Juan Caballero,23-10-21,spanish,767.0,699,0
Días contados,"Luis Jochamowitz,Rafaella León","Luis Jochamowitz,Césarla Serna,Rafaella León",21-10-21,spanish,767.0,812,0
Sensibel,Svenja Flaßpöhler,Sonngard Dressler,22-10-21,german,468.0,358,0
Kidnappad hjärna,Miki Agerberg,Björn Löfgren,11-11-21,swedish,233.0,484,0
Psychologie des foules,Gustave Le Bon,Amir Haouara,12-11-21,french,132.0,308,0
Work Pray Code,Carolyn Chen,Jennifer Lim,08-03-22,English,656.0,576,0
Pourquoi l'amour fait mal,Eva Illouz,Françoise Cadol,23-02-22,french,982.0,823,0
Tre modi di vedere il Sud,Franco Cassano,Walter Rivetti,20-07-21,italian,113.0,96,0
The Racial Healing Handbook,"Anneliese A.Singh Ph DLPC,Tim Wise-foreword,Derald Wing Sue Ph D-afterword",Machelle Williams,26-01-21,English,586.0,392,0
Capital City,Samuel Stein,Emily Beresford,25-06-19,English,469.0,328,0
Virus of the Mind,Richard Brodie,Richard Brodie,09-11-09,English,561.0,276,0
Nudge,"Cass Sunstein,Richard H.Thaler",Jérôme Carrette,08-12-20,french,793.0,574,0
Everything Must Change,Brian Mc Laren,Lloyd James,13-02-09,English,569.0,596,0
White Working Class,Joan C.Williams,Liisa Ivary,27-06-17,English,585.0,208,0
When Breath Becomes Air by Paul Kalanithi - Book Summary,"Dean Bokhari,Flash Books",Dean Bokhari,07-01-21,English,117.0,23,0
Dignity,Donna Hicks Ph D,Margaret Strom,11-10-16,English,703.0,452,0
No Shortcuts,Jane F.Mc Alevey,Pam Ward,22-10-19,English,703.0,586,0
The Feel the Fear Guide to Lasting Love,Susan Jeffers,Susan Jeffers,16-03-06,English,410.0,197,0
Coming Out Atheist,Greta Christina,Greta Christina,16-04-14,English,836.0,862,0
Braving the Wilderness by Brené Brown - Book Summary,"Dean Bokhari,Flash Books",Dean Bokhari,07-01-21,English,164.0,29,0
Pricing Beauty,Ashley Mears,Cris Dukehart,08-10-12,English,836.0,692,0
The Souls of Black Folk,W.E.B.Du Bois,Deaver Brown,27-07-21,English,134.0,491,0
Dragged Off,Dr.David Dao,David Shih,03-08-21,English,586.0,287,0
Hollyweird Science,"Stephen Cass,Kevin R.Grazier",John Lescault,03-08-21,English,820.0,770,0
Nunca más su nombre,Joel Flores,Victor Bedoya,29-07-21,spanish,795.0,364,0
The Evolution of Nuclear Strategy,"Lawrence Freedman,Jeffrey Michaels",Richard Elwood,27-07-21,English,1675.0,1485,0
They Must Be Stopped,Brigitte Gabriel,Brigitte Gabriel,02-09-08,English,134.0,507,0
The Jewel of Abundance,"Ellen Grace O'Brian,Philip Goldberg-foreword",Bahni Turpin,24-11-18,English,1005.0,594,0
The New Epicureans,Thomas Moore,Thomas Moore,23-09-21,English,234.0,78,0
"Человек шестой расы. Высший разум о бессмертии, смысле жизни и путешествии души",ЛюдмилаСтрельникова,СтаниславИванов,17-11-21,russian,233.0,505,0
Я ничего не знаю,Сократ,АлександрАравушкин,18-11-21,russian,200.0,596,0
Четыре соглашения. Тольтекская книга мудрости,ДонМигельРуис,СеменВащенко,17-11-21,russian,233.0,165,0
Астрология для каждого. Знаки успеха и изменений,АнжелаПерл,ЕкатеринаКабашова,16-11-21,russian,267.0,571,0
Крайон. Тайные знания Акаши. Как подчинить себе энергию перемен,ТамараШмидт,ОльгаМиронова,17-11-21,russian,166.0,360,0
Крайон. Деньги и Энергии Нового Времени. Ключ к вашему благосостоянию,ТамараШмидт,ИгорьПронин,18-11-21,russian,166.0,283,0
Existence and Necessity,J.M.Kuczynski,Robert Barbere,17-11-21,English,93.0,111,0
Allein,Daniel Schreiber,Daniel Schreiber,17-11-21,german,334.0,238,0
Manual de vida,Epicteto,MiguelÁngel Jenner,01-12-21,spanish,729.0,179,0
Von der Kürze des Lebens [From the Brevity of Life],Seneca,Benjamin Lucas,24-11-21,german,164.0,86,0
The Way of Imagination,Scott Russell Sanders,Christopher Grove,06-12-21,English,516.0,477,0
"""... gegen die Verhexung des Verstandes""",Thomas Schärtl,"Ingo Pfeiffer,Stephan Ladnar,Oskar Vogel,",24-11-21,german,233.0,154,0
La filosofia è un esercizio,"Pier Aldo Rovatti,Nicola Gaiarin","Dario Dossena,Claudio Colombo",30-11-21,italian,267.0,362,0
Making Monsters,David Livingstone Smith,Timothy Andrés Pabon,07-12-21,English,703.0,586,0
自分は自分、バカはバカ。 他人に振り回されない一人勝ちメンタル術,ひろゆき（西村博之）,星祐樹,27-01-22,japanese,697.0,214,0
Humans 2.0,Fazale Rana,Kenneth R.Samples,01-04-22,English,585.0,596,0
Psichiatria e fenomenologia,Umberto Galimberti,Riccardo Lombardo,14-12-21,italian,766.0,741,0
Manieren - Manners,Ralph Waldo Emerson,Tim Eriksson,08-12-21,german,233.0,73,0
Universal Holistic Philosophy,Martin K.Ettington,Martin K.Ettington,15-11-21,English,163.0,123,0
Methodologische Novelle,Hermann Broch,Org Dubonton,08-01-22,german,133.0,26,0
Die Kunst der Balance,Wilhelm Schmid,Wilhelm Schmid,10-11-21,german,233.0,157,0
Da Cartesio a Kant,Luciano De Crescenzo,Gustavo La Volpe,19-01-22,italian,267.0,267,0
The Praise of Folly,Desiderius Erasmus,Anna Simon,24-01-22,English,166.0,214,0
Reflexiones éticas,"Aristóteles,Paloma Ortiz-traductor",MiguelÁngel Jenner,24-01-22,spanish,729.0,354,0
Phaidros,Platon,Volker Braumann,21-01-22,german,233.0,240,0
Why Nationalism,Yael Tamir,Juliet Stevenson,19-02-19,English,585.0,390,0
The Problem of Pain,C.S.Lewis,Simon Vance,13-05-05,English,421.0,238,0
La piedra de la locura,Benjamín Labatut,Benjamín Labatut,17-11-21,spanish,345.0,84,0
True Life Through Zen,Zensho W.Kopp,Christopher Kent,11-11-21,English,300.0,72,0
How to Be a Farmer,M.D.Usher-translator,Tom Perkins,23-11-21,English,469.0,144,0
Tempo de Cura,Monja Coen,Marilda Alface Imbrunito,12-11-21,portuguese,200.0,308,0
The Precipice,"Noam Chomsky,C.J.Polychroniou",Friedrich Frieden,24-06-21,English,1093.0,922,0
Der begrabene Tempel,Maurice Maeterlinck,Friedrich Frieden,20-12-21,german,568.0,376,0
Filosofía en 11 frases,Darío Sztajnszrajber,Leandro Jonathan Dugatkin,03-12-21,spanish,384.0,987,0
Filosofia a martillazos 1,Darío Sztajnszrajber,Leandro Jonathan Dugatkin,03-12-21,spanish,384.0,935,0
Diario de un seductor,Søren Kierkegaard,Oscar Chamorro,17-11-21,spanish,307.0,330,0
Hospicing Modernity,Vanessa Machadode Oliveira,"Dougald Hine,Vanessa Machadode Oliveira",04-01-22,English,1505.0,715,0
Ama il prossimo tuo,"Enzo Bianchi,Massimo Cacciari",Gualtiero Scola,07-12-21,italian,190.0,201,0
超訳ニーチェの言葉II (ディスカヴァークラシックシリーズ),白取春彦(翻訳),白井翔太,20-12-21,japanese,697.0,193,0
Eloge du risque,Anne Dufourmantelle,Lara Suyeux,09-12-21,french,641.0,542,0
Jean Baudrillard,Vanni Codeluppi,Dario Merlini,11-01-22,italian,190.0,215,0
Succo di nespola,Zap Mangusta,Zap Mangusta,30-12-21,italian,958.0,1057,0
Dieu et L'État,Mikhaïl Bakounine,Pierre-François Garel,20-12-21,french,641.0,195,0
"""Das Böse ist des Menschen beste Kraft""",Christian Liederer,Thomas Krause,23-12-21,german,233.0,144,0
100 citações de Søren Kierkegaard,Søren Kierkegaard,Fabio Godinho,20-12-21,portuguese,149.0,31,0
100 citações de Heraclito,Heraclito,Fabio Godinho,20-12-21,portuguese,149.0,19,0
La schiavitù del capitale,Luciano Canfora,Mino Manni,04-01-22,italian,113.0,101,0
Elogio della lentezza,Lamberto Maffei,Alessandro Pili,04-01-22,italian,190.0,153,0
DIE MACHT DES STOIZISMUS,Manuel Nikolaidis,Axel Jomeyer,21-12-21,german,434.0,185,0
Von der Kürze des Lebens - De brevitate vitae,Lucius Annaeus Seneca,Sven Görtz,17-12-21,german,334.0,82,0
Cuerpos Inadecuados,Antonio Diéguez,Carles Sianes,29-12-21,spanish,636.0,370,0
Protagoras,Platon,Volker Braumann,29-12-21,german,200.0,279,0
Las Máximas de Ptahhotep,Edgar Rice Ptahhotep,Artur Mas,29-12-21,spanish,99.0,55,0
As a Man Thinketh,James Allen,Mark Cawley,29-12-21,English,468.0,52,0
Der Fürst / The Prince,NiccolòMachiavelli,Jürgen Fritsche,03-01-22,german,501.0,435,0
Epiktet / Epictetus - Handbüchlein der Moral / The Enchiridion - The handbook of moral instructions,Epiktet/Epictetus,Jürgen Fritsche,03-01-22,german,334.0,122,0
Was soll ich tun?,Matthias Katzer,Martin Falkman,11-01-22,german,233.0,154,0
Von der Gemütsruhe - De tranquillitate animi,Lucius Annaeus Seneca,Sven Görtz,17-12-21,german,334.0,101,0
Kurz und gut. Die große Hörbuch Box der Aphorismen,div.,Jürgen Fritsche,16-12-21,german,1340.0,1730,0
Der kleine Buddha auf der Reise nach Hause,Claus Mikosch,Leonard Hohm,03-12-21,german,367.0,196,0
Hume,James A.Harris,Julian Elfer,21-12-21,English,469.0,195,0
Appearance in Reality,John Heil,Tim Campbell,14-12-21,English,703.0,651,0
The Martyrdom of Man,Winwood Reade,Denis Daly,06-12-21,English,1100.0,1083,0
Corona-Philosophie [Corona-Philosophy],Arthur Schopenhauer,Benjamin Lucas,06-12-21,English,117.0,23,0
Máximas y pensamientos,"Napoleón Bonaparte,JoséLuis Gil Aristu-traductor",MiguelÁngel Jenner,07-12-21,spanish,729.0,232,0
Eccomi!,Francesca Campana Comparini,Walter Rivetti,24-12-21,italian,190.0,219,0
Los diálogos de Platón [Plato's Dialogues],Platón,Jaime Collepardo,16-12-21,spanish,234.0,1099,0
Die Frage nach dem guten Leben,Matthias Katzer,Michael Hametner,08-12-21,german,233.0,155,0
Niccolò Machiavelli. The Prince,NiccolòMachiavelli,Jürgen Fritsche,10-12-21,English,334.0,220,0
Vom glücklichen Leben - De vita beata,Lucius Annaeus Seneca,Sven Görtz,17-12-21,german,334.0,98,0
"""Das Böse ist des Menschen beste Kraft""",Christian Liederer,Thomas Krause,14-12-21,german,233.0,144,0
Platonismus,Karl Albert,Wolfgang Schmidt,14-12-21,german,233.0,70,0
Medicina de ángeles (Narración en Castellano) [Angels Medicine (Narration in Spanish)],Doreen Virtue,Patricia Estremera,15-12-21,spanish,501.0,217,0
Четвертый Путь к сознанию,ГеоргийГурджиев,СтаниславИванов,22-12-21,russian,267.0,1150,0
Большая книга магической силы. Развитие интуиции и ясновидения,БорисМоносов,СтаниславИванов,22-12-21,russian,200.0,386,0
The Storm,Daniel Defoe,Denny Sayers,22-12-21,English,434.0,544,0
Aphorismen zur Lebensweisheit,Arthur Schopenhauer,Sven Görtz,16-12-21,german,669.0,501,0
Estoicismo para principiantes [The Beginner's Guide to Stoicism],Matthew Van Natta,Yvan Mantilla,17-01-22,spanish,469.0,205,0
Vom Zorn - De ira,Lucius Annaeus Seneca,Sven Görtz,12-01-22,german,334.0,301,0
Diálogo Entre un Sacerdote y un Moribundo,Marquésde Sade,Artur Mas,17-01-22,spanish,132.0,35,0
Platone e la legge del pallone,Zap Mangusta,Zap Mangusta,20-10-21,italian,574.0,496,0
Il gioco delle opinioni,Umberto Galimberti,Donato Sbodio,05-10-21,italian,843.0,832,0
Il tempo degli stregoni. 1919-1929,Wolfram Eilenberger,Riccardo Forte,11-10-21,italian,843.0,781,0
Animals' Best Friends,Barbara J.King,Karen White,19-10-21,English,586.0,646,0
24/7: Capitalismo tardio e os fins do sono [24/7: Late Capitalism and the End of Sleep],Jonathan Crary,Diego Muras,11-10-21,portuguese,501.0,262,0
Über ein vermeintes Recht aus Menschenliebe zu lügen [To Lie About a Supposed Right Out of Philanthropy],Immanuel Kant,Benjamin Lucas,11-10-21,german,47.0,15,0
The God Question (Revised Edition),J.P.Moreland,Tom Parks,26-10-21,English,703.0,649,0
Science Denial,"Gale Sinatra,Barbara Hofer",Nan Mc Namara,12-10-21,English,703.0,393,0
The Prince [unabridged],NiccolòMachiavelli,Eric Nutting,11-10-21,English,93.0,193,0
Nova il·lustració radical,Marina Garcés,Marina Garcés,20-10-21,catalan,345.0,116,0
Los diálogos de Platón [Plato's Dialogues],Platón,Cristina Tenorio,12-10-21,spanish,234.0,938,0
Storia della filosofia medioevale,Luciano De Crescenzo,Gustavo La Volpe,13-10-21,italian,267.0,322,0
Los diálogos de Platón: Las Leyes [Plato's Dialogues The Laws],Platón,Ana Laura Santana,12-10-21,spanish,234.0,1135,0
Breve historia de la filosofía [Brief History of Philosophy],Humberto Giannini,Miguel Angel Alvarez,11-10-21,spanish,1338.0,1587,0
心理カウンセラーが教える「がんばり過ぎて疲れてしまう」がラクになる本,"廣川進(著),松浦真澄(著)",松浦このみ,20-10-21,japanese,865.0,370,0
会って、話すこと。 自分のことはしゃべらない。相手のことも聞き出さない。人生が変わるシンプルな会話術,田中泰延,"櫻井慎也,野坂尚也",14-01-22,japanese,391.0,158,0
宇宙人が教える ポジティブな地球の過ごし方,the Planetfrom Nebula,"北村和真,小田果林",07-01-22,japanese,488.0,268,0
Vita segreta delle emozioni,Ilaria Gaspari,Elisa Giorgio,06-10-21,italian,305.0,329,0
Nueva ilustración radical,Marina Garcés,Marina Garcés,20-10-21,spanish,345.0,120,0
Ikigai,Aoi Nakamura,Mario Kunze,21-10-21,german,434.0,170,0
L'art d'être français,Michel Onfray,Frédéric Kneip,24-09-21,french,831.0,622,0
Meditations,Marcus Aurelius,Felbrigg Napoleon Herriot,10-09-21,English,190.0,279,0
Pour un Tocqueville de gauche,Michel Onfray,Michel Onfray,01-10-21,french,528.0,91,0
La dignità ferita,Eugenio Borgna,Roberto Accornero,19-10-21,italian,574.0,515,0
I racconti più belli della saggezza zen,"David Santoro,Lorenzo Casadei",Federico Melis,19-10-21,italian,267.0,293,0
それ、勝手な決めつけかもよ? だれかの正解にしばられない「解釈」の練習,阿部広太郎,井門宗之,29-09-21,japanese,781.0,263,0
Les États multiples de l'être [The Multiple States of Being],RenéGuénon,Stephd Aumaiha,23-09-21,french,117.0,266,0
On Risk,Mark Kingwell,Braden Wright,30-09-21,English,633.0,341,0
La Généalogie de la morale,Friedrich Nietzsche,Philippe Lebeau,24-09-21,french,679.0,385,0
Ueber das Erhabene,Friedrich Schiller,Sabrina Pankrath,11-11-21,german,233.0,50,0
Arcipelago di passioni,"Charlotte Casiraghi,Robert Maggiori",Oliviero Corbetta,07-10-21,italian,843.0,785,0
ただしい人類滅亡計画 反出生主義をめぐる物語,品田遊,"祐仙勇,水瀬真知",03-12-21,japanese,837.0,359,0
La filosofia della Mangusta. Serie completa,Zap Mangusta,Zap Mangusta,11-10-21,italian,1533.0,2171,0
超訳 ニーチェの言葉 (ディスカヴァークラシックシリーズ),白取春彦,芹川晴夫,20-10-21,japanese,725.0,233,0
ものの見方が変わる 座右の寓話,戸田智弘,岩崎了,17-12-21,japanese,976.0,407,0
Comment tout peut s'effondrer,"Raphaël Stevens,Pablo Servigne",Pablo Servigne,02-10-21,french,793.0,391,0
Die Herrschaft der extremen Mitte,Alain Deneault,Sebastian Pappenberger,01-10-21,german,434.0,414,0
とても傷つきやすい人が無神経な人に悩まされずに生きる方法,みさきじゅり,中村悦子,24-12-21,japanese,488.0,207,0
"Determinism, Freedom, Psychopathy",J.-M.Kuczynski,Mitchell Johnson,21-10-21,English,187.0,328,0
Elogio del diritto,"Massimo Cacciari,Natalino Irti",Mino Manni,18-01-22,italian,190.0,237,0
The Immanuel Kant Collection,Immanuel Kant,Johann Zeiger,25-11-20,English,1407.0,1493,0
Infinite Awareness,"Marjorie Hines Woollacott,Pimvan Lommel-foreword","Paul Hawkwood-foreword,Marjorie Hines Woollacott",28-03-17,English,836.0,689,0
Philosophy for Life,Jules Evans,John Voce,01-10-20,English,1063.0,649,0
A Little Happier,Derren Brown,Derren Brown,15-10-20,English,615.0,115,0
To Have or to Be?,Erich Fromm,Adriel Brandt,27-05-20,English,836.0,388,0
"Friedrich Nietzsche: Beyond Good and Evil, Thus Spoke Zarathustra, Human, All Too Human, and the Antichrist",Friedrich Nietzsche,Ellis Freeman,17-04-20,English,1407.0,1600,0
Dhammapada,Gautama Buddha,Joaquin Rodrigo Madrigal,26-09-14,spanish,234.0,75,0
The Enchiridion,Epictetus,John Winston,04-11-20,English,132.0,55,0
The Human Condition (Second Edition),Hannah Arendt,Elizabeth Wiley,24-11-20,English,703.0,942,0
Glück,Wilhelm Schmid,Elmar Bartel,10-11-21,german,233.0,87,0
The Mastery of Destiny,James Allen,Denis Daly,19-08-15,English,286.0,100,0
Politics,Aristotle,Matthew Josdal,30-09-10,English,266.0,499,0
Poetics,Aristotle,"Nicholas Khan,Roy Mc Millan",25-02-21,English,615.0,238,0
Standing at the Edge,Joan Halifax,Joan Halifax,01-05-18,English,134.0,636,0
Drei Essays,Hermann Broch,Org Dubonton,15-01-22,german,166.0,71,0
Un voyage dans les philosophies du monde,Roger-Pol Droit,Jean-Marc Delhausse,26-01-22,french,831.0,544,0
How to Be a Conservative,Roger Scruton,Kris Dyer,20-01-22,English,1215.0,569,0
La vita delle api,Maurice Maeterlinck,Silvia Cecchini,10-06-21,italian,190.0,367,0
Storia della filosofia moderna 1,Luciano De Crescenzo,Gustavo La Volpe,10-11-21,italian,267.0,220,0
Selbständigkeit - Self-reliance,Ralph Waldo Emerson,Tim Eriksson,21-10-21,german,233.0,87,0
Observaciones Sobre el Sentimiento de Lo Bello y Lo Sublime,Immanuel Kant,Artur Mas,02-11-21,spanish,267.0,142,0
Persönlichkeit - Character,Ralph Waldo Emerson,Tim Eriksson,21-10-21,german,233.0,52,0
Daemonologie,King James I,Dean Delp,28-10-21,English,335.0,158,0
La Agonía del Eros,Byung-Chul Han,Randolfo Barrionuevo,28-10-21,spanish,367.0,113,0
L'imagination crée la réalité,Neville Goddard,Sahra Devi,05-11-21,french,225.0,130,0
El Jardín del Profeta,Khalil Gibran,Artur Mas,08-11-21,spanish,166.0,77,0
The Enchiridion - The handbook of moral instructions,Epictetus,Jürgen Fritsche,02-11-21,English,267.0,61,0
Despre viața fericită,Seneca Lucius Annaeus,Victor Rebengiuc,02-11-21,romanian,233.0,53,0
M-ai întrebat de ce,Seneca Lucius Annaeus,Victor Rebengiuc,02-11-21,romanian,233.0,38,0
Wahres Leben aus ZEN,Zensho W.Kopp,Helge Heynold,09-11-21,german,233.0,73,0
Alt timp nu am,Seneca Lucius Annaeus,Victor Rebengiuc,02-11-21,romanian,233.0,52,0
Despre mânie,Seneca Lucius Annaeus,Victor Rebengiuc,02-11-21,romanian,233.0,56,0
El rebaño,Jano García,Gus Cantollá,10-11-21,spanish,575.0,500,0
A Arte de Ter Razão - 38 Estratagemas,Arthur Schopenhauer,Marcus Vinnicius,03-11-21,portuguese,65.0,84,0
Onore,Franco Cardini,Francesco Leonardo Fabbri,05-11-21,italian,190.0,126,0
Le philosophe ignorant,Voltaire,Yannick Lopez,09-11-21,french,376.0,104,0
Der direkte ZEN-Weg zur Befreiung,Zensho W.Kopp,Helge Heynold,09-11-21,german,233.0,143,0
On the Duty of Civil Disobedience,Henry David Thoreau,Bob Neufeld,10-01-22,English,76.0,62,0
Essais. Eine Auswahl,Michelde Montaigne,Sven Görtz,12-01-22,german,501.0,237,0
Islamic Philosophy: Bolinda Beginner Guides,Majid Fakhry,Raad Rawi,05-06-12,English,585.0,445,0
The Mathematics of the Gods and the Algorithms of Men,Paolo Zellini,Mark Elstob,27-02-20,English,888.0,406,0
Time Machine Tales,Paul J.Nahin,John Lescault,27-07-21,English,937.0,945,0
Impudoare,Gabriel Liiceanu,Gabriel Liiceanu,11-01-22,romanian,233.0,666,0
Standing as Awareness,Greg Goode,Matthew Josdal,19-10-21,English,351.0,211,0
Icarus,Bertrand Russell,Denis Daly,09-02-22,English,239.0,49,0
The Essays,Ralph Waldo Emerson,Bob Neufeld,01-02-22,English,113.0,891,0
Heaven in Disorder,Slavoj Zizek,Will Tulin,18-01-22,English,586.0,429,0
Michel de Montaigne: The Complete Essays,Michelde Montaigne,Peter Wickham,12-10-21,English,1407.0,3192,0
Kant's Ethics,John-Michael Kuczynski,Normajean Gradsky,18-11-21,English,93.0,46,0
The Fundamentals of Ethics,Russ Shafer-Landau,Jason Leikam,25-02-22,English,1675.0,950,0
Strategy and Ethics. The audiobook box of classical thinkers,div.,"Jürgen Fritsche,Sven Görtz",16-12-21,English,938.0,792,0
Essays,Francis Bacon,David Timson,08-01-22,English,504.0,379,0
The Analysis of Mind,Bertrand Russell,Cate Barratt,19-11-21,English,670.0,574,0
Reasons and Persons,Derek Parfit,Peter Batchelor,19-03-21,English,1675.0,1758,0
Breakfast with Seneca,David Fideler,Paul Heitsch,14-12-21,English,586.0,437,0
The Stoic Guide to a Happy Life,Massimo Pigliucci,Peter Coleman,17-09-20,English,615.0,145,0
Zen and the Art of Saving the Planet,Thich Nhat Hanh,"John Sackville,True Dedication",07-10-21,English,888.0,516,0
Reflections,Walter Benjamin,"Peter Demetz,Stefan Rudnicki",28-12-21,English,1218.0,912,0
Poetics/Rhetoric,Aristotle,Leighton Pugh,06-12-21,English,633.0,544,0
Exploring Hermetic Traditions,Terence Mc Kenna,Terence Mc Kenna,02-09-21,English,468.0,310,0
Los diálogos de Platón [Plato's Dialogues],Platón,Alex Ortega,12-10-21,spanish,234.0,1410,0
The Republic,Plato,Leighton Pugh,12-10-21,English,938.0,760,0
The Direct Path,Greg Goode,James Anderson Foster,19-10-21,English,586.0,544,0
Philosophy of Science (2nd Edition),Samir Okasha,Liam Gerrard,14-09-21,English,586.0,268,0
Leviathan,"Thomas Hobbes,Christopher Brooke-introduction",Philip Stevens,25-02-21,English,1093.0,1509,0
The Fundamental Wisdom of the Middle Way,"Nāgārjuna,Jay L.Garfield-translator",Zehra Jane Naqvi,13-07-21,English,703.0,724,0
Being Better,"Kai Whiting,Leonidas Konstantakos",Liam Gerrard,24-08-21,English,586.0,255,0
Theory of the Gimmick,Sianne Ngai,Nancy Wu,14-09-21,English,703.0,771,0
A Philosophical Essay on Probabilities,Pierre-Simon Laplace,Charles Armstrong,08-07-21,English,486.0,303,0
Le hasard sauvage,Nassim Nicholas Taleb,François Montagut,06-12-21,french,755.0,674,0
"Human Rights, 2nd Edition",Andrew Clapham,Peter Lerman,13-07-21,English,586.0,336,0
Grief,Michael Cholbi,Mike Lenz,18-01-22,English,586.0,421,0
Forcing Justice,"Henry David Thoreau,Mohandas K.Gandhi,Aidan Anderson,",Michael Severens,22-12-21,English,234.0,528,0
"Emerson's Essential Essays, Volume 1",Ralph Waldo Emerson,Lisa S.Ware,09-04-21,English,526.0,398,0
Friedrich Nietzsche - Die große Hörbuch Box der Aphorismen,Friedrich Nietzsche,Sven Görtz,03-01-22,german,837.0,857,0
The Numbered Discourses,Bhikkhu Sujato,Taradasa,05-12-21,English,1518.0,3419,0
Fear of Black Consciousness,Lewis R.Gordon,"Landon Woodson,Lewis R.Gordon",11-01-22,English,888.0,544,0
Sadhana: The Realisation of Life,Rabindranath Tagore,Peter Yearsley,08-12-21,English,166.0,229,0
A Short History of Islamic Thought,Fitzroy Morrissey,Fitzroy Morrissey,11-11-21,English,645.0,470,0
Intact,Clare Chambers,Alix Dunmore,24-02-22,English,888.0,759,0
Kid Gloves,Adam Mars-Jones,Adam Mars-Jones,27-08-15,English,683.0,566,0
Federalist No. 74,Alexander Hamilton,D.S.Harvey,09-01-21,English,47.0,8,0
Closing the Courthouse Door,Erwin Chemerinsky,Mike Chamberlain,25-01-17,English,891.0,592,0
The Soul of the First Amendment,Floyd Abrams,James Foster,25-04-17,English,352.0,216,0
Undocumented,Aviva Chomsky,Frankie Corzo,04-07-17,English,754.0,465,0
Chokehold,Paul Butler,JDJackson,11-07-17,English,703.0,533,0
Blood in the Water,Heather Ann Thompson,Erin Bennett,20-06-17,English,1338.0,1366,0
Elevating Equity and Justice,Robert Kim,Robert Kim,07-10-20,English,721.0,297,0
The FBI: A History,Rhodri Jeffreys-Jones,David Henry,10-03-10,English,1003.0,722,0
"""I dissent - Ich widerspreche.""",Ruth Bader Ginsburg,Wiebke Puls,22-12-20,german,233.0,94,0
Philadelphia Freedom,David Kairys,David Henry,01-03-10,English,585.0,918,0
The Education of Brett Kavanaugh,"Robin Pogrebin,Kate Kelly","Robin Pogrebin,Kate Kelly",17-09-19,English,1005.0,518,0
Where Law Ends,Andrew Weissmann,"George Newbern,Andrew Weissmann",29-09-20,English,1131.0,848,0
Errors and Omissions,Paul Goldstein,Brian Keeler,14-07-06,English,804.0,337,0
Summoned at Midnight,Richard A.Serrano,Jeff Zinn,05-02-19,English,1005.0,512,0
Whistleblowers,Allison Stanger,Kate Mulligan,24-09-19,English,820.0,582,0
Policing the Open Road,Sarah A.Seo,Nancy Wu,19-11-19,English,820.0,660,0
Nichts als die Wahrheit,James Comey,Erich Wittenberg,12-01-21,german,468.0,557,0
"White Lawyer, Black Power",Donald A.Jelinek,Keith Sellon-Wright,22-12-20,English,703.0,667,0
The Portable Atheist,Christopher Hitchens,Nicholas Ball,15-12-21,English,585.0,646,0
The Genealogy of Morals,Friedrich Nietzsche,Jeffrey Church,02-04-22,English,334.0,343,0
Bernoulli's Fallacy,Aubrey Clayton,Tim H.Dixon,24-08-21,English,1003.0,914,0
The Discourses of Epictetus,Epictetus,John Winston,04-11-20,English,703.0,392,0
The Republic,Plato,Pat Bottino,24-11-08,English,773.0,757,0
"What Is Metaphysics, What Is Philosophy and Other Writings",Martin Heidegger,Martyn Swain,03-03-22,English,523.0,264,0
Strange New World,"Carl R.Trueman,Ryan T.Anderson-foreword",Carl R.Trueman,22-03-22,English,422.0,314,0
Wisdom of Bertrand Russell,Bertrand Russell,Robin Sachs,06-03-13,English,668.0,292,0
Habits of the Mind,James W.Sire,Charles Constant,05-04-22,English,656.0,448,0
Critique of Pure Reason,Immanuel Kant,Peter Wickham,04-04-22,English,1360.0,1509,0
Birthright Citizens,Martha S.Jones,Janina Edwards,05-01-21,English,586.0,538,0
Beyond Good and Evil,Friedrich Nietzsche,Cori Samuel,05-03-22,English,334.0,506,0
Restoring Reason,Travis M.Corcoran,Lawrence Richardson,20-03-22,English,516.0,251,0
A Mind for Numbers,Barbara Oakley,Grover Gardner,26-10-21,English,879.0,424,0
Dharma Artha Kama Moksha [Dharma Meaning Work Salvation],"Devdutt Pattanaik,Mihir Saswadkar-translator",Abhishek Sharma,16-02-22,Hindi,900.0,283,0
Make Your Case,Tanya Acker,Mia Ellis,17-12-20,English,586.0,520,0
Killing Women,Rod Sadler,Peter Berkrot,15-12-20,English,937.0,784,0
The President and Immigration Law,"Adam B.Cox,Cristina M.Rodriguez",Gary Tiedemann,29-12-20,English,703.0,772,0
Das kommunistische Manifest,"Karl Marx,Friedrich Engels",Karsten Renner,09-09-21,german,132.0,77,0
Thought Through the Centuries,"Marcus Aurelius,Ralph Waldo Emerson,Napoleon Hill","James Anderson Foster,Phil Paonessa,Jim Seybert",08-03-22,English,1876.0,1462,0
